
**`@when` data outside of date coverage range of parent _FRUS_ volume**

Outlier data in `@when` | Frequency | Issue | Date Entries | Volume Coverage Dates | URIs
 1941-12-31 | 6 | `@when` outside of volume date range | <ul><li>December 31, 1941</li><li>December 31, 1941</li><li>December 31, 1941</li><li>December 31, 1941</li><li>December 31, 1941</li><li>December 31, 1941—3 p.m.</li></ul> | <ul><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d17</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d229</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d811</li><li>https://history.state.gov/historicaldocuments/frus1942v02/d720</li><li>https://history.state.gov/historicaldocuments/frus1942v02/d721</li><li>https://history.state.gov/historicaldocuments/frus1942v05/d10</li></ul>
 1942-01-11 | 6 | `@when` outside of volume date range | <ul><li>January11, 1942</li><li>January 11, 1942</li><li>January 11, 1942</li><li>January 11, 1942</li><li>11 January, 1942</li><li>January 11, 1942 [1943]—3 p.m.</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d100</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d118</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d142</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d207</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d254</li><li>https://history.state.gov/historicaldocuments/frus1943v01/d50</li></ul>
 1943-01-02 | 6 | `@when` outside of volume date range | <ul><li>January 2, 1943</li><li>January 2, 1943</li><li>January2, 1943</li><li>January 2, 1943</li><li>January 2, 1943—4 p.m.</li><li>January 2, 1943—8 p.m.</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d326</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d327</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d400</li><li>https://history.state.gov/historicaldocuments/frus1942v06/d691</li><li>https://history.state.gov/historicaldocuments/frus1942v04/d752</li><li>https://history.state.gov/historicaldocuments/frus1942v04/d645</li></ul>
 1943-01-18 | 6 | `@when` outside of volume date range | <ul><li>January 18, 1943</li><li>January 18, 1943</li><li>January 18, 1943</li><li>January 18, 1943</li><li>January 18, 1943</li><li>January 18, 1943—2 p.m.</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d405</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d406</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d407</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d433</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d445</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d434</li></ul>
 1943-01-22 | 6 | `@when` outside of volume date range | <ul><li>January 22 [23], 1943</li><li>January 22, 1943</li><li>January 22, 1943</li><li>January 22, 1943</li><li>January 22, 1943</li><li>January 22–23, 1943</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d381</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d413</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d414</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d415</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d439</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d449</li></ul>
 1943-12-30 | 6 | `@when` outside of volume date range | <ul><li>December 30, 1943</li><li>30 December 1943</li><li>December 30, 1943</li><li>December 30, 1943</li><li>December 30, 1943</li><li>December 30, 1943</li></ul> | <ul><li>1944</li><li>1944</li><li>1944</li><li>1944</li><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v01/d260</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d77</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d467</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d642</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d1482</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d1528</li></ul>
 1943-12-31 | 6 | `@when` outside of volume date range | <ul><li>December 31, 1943</li><li>December 31, 1943</li><li>December 31, 1943</li><li>December 31, 1943—1 p.m.</li><li>December 31, 1943—4 p.m.</li><li>December 31, 1943—8 p.m.</li></ul> | <ul><li>1944</li><li>1944</li><li>1944</li><li>1944</li><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d3</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d511</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d866</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d795</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d444</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d1122</li></ul>
 1945-01-03 | 6 | `@when` outside of volume date range | <ul><li>January 3, 1945</li><li>January 3, 1945—4 p.m.</li><li>January 3, 1945 [1946]—4 p.m.</li><li>January 3, 1945—7 p.m.</li><li>January 3, 1945—8 p.m.</li><li>January 3, 1945—9 p.m.</li></ul> | <ul><li>1944</li><li>1944</li><li>1946</li><li>1944</li><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v04/d940</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d882</li><li>https://history.state.gov/historicaldocuments/frus1946v09/d7</li><li>https://history.state.gov/historicaldocuments/frus1944v05/d968</li><li>https://history.state.gov/historicaldocuments/frus1944v02/d155</li><li>https://history.state.gov/historicaldocuments/frus1944v02/d156</li></ul>
 1946-01-02 | 6 | `@when` outside of volume date range | <ul><li>January 2, 1946</li><li>2 January 1946</li><li>January 2, 1946—8 a.m.</li><li>January 2, 1946—10 a.m.</li><li>January 2, 1946—noon</li><li>January 2, 1946—8 p.m.</li></ul> | <ul><li>1945</li><li>1945</li><li>1945</li><li>1945</li><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v03/d761</li><li>https://history.state.gov/historicaldocuments/frus1945v03/d1150</li><li>https://history.state.gov/historicaldocuments/frus1945v07/d919</li><li>https://history.state.gov/historicaldocuments/frus1945v08/d507</li><li>https://history.state.gov/historicaldocuments/frus1945v07/d920</li><li>https://history.state.gov/historicaldocuments/frus1945v05/d1056</li></ul>
 1947-12-30 | 6 | `@when` outside of volume date range | <ul><li>December 30, 1947</li><li>December 30, 1947</li><li>December 30, 1947</li><li>December 30, 1947</li><li>December 30, 1947—7 p. m.</li><li>December 30, 1947—7 p. m.</li></ul> | <ul><li>1948</li><li>1948</li><li>1948</li><li>1948</li><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d131</li><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d132</li><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d133</li><li>https://history.state.gov/historicaldocuments/frus1948v08/d383</li><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d130</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d464</li></ul>
