
**`@when` data outside of date coverage range of parent _FRUS_ volume**

Outlier data in `@when` | Frequency | Issue | Date Entries | Volume Coverage Dates | URIs
 1940-02-29 | 1 | `@when` outside of volume date range | <ul><li>February 29, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d226</li></ul>
 1940-04-06T13:00:00 | 1 | `@when` outside of volume date range | <ul><li>April 6, 1940—1 p.m.</li></ul> | <ul><li>1939</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1939v02/d263</li></ul>
 1940-04-10 | 1 | `@when` outside of volume date range | <ul><li>April 10, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v03/d139</li></ul>
 1940-05-28 | 1 | `@when` outside of volume date range | <ul><li>May 28, 1940</li></ul> | <ul><li>1939</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1939v02/d264</li></ul>
 1940-06-11T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>June 11, 1940—6 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d228</li></ul>
 1940-08-09T13:00:00 | 1 | `@when` outside of volume date range | <ul><li>August 9, 1940—1 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v03/d680</li></ul>
 1940-08-16 | 1 | `@when` outside of volume date range | <ul><li>August 16, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d886</li></ul>
 1940-08-31 | 1 | `@when` outside of volume date range | <ul><li>August 31, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v03/d681</li></ul>
 1940-09-06T10:00:00 | 1 | `@when` outside of volume date range | <ul><li>September 6, 1940—10 a.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v03/d682</li></ul>
 1940-10-14 | 1 | `@when` outside of volume date range | <ul><li>October 14, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d547</li></ul>
 1940-10-15 | 1 | `@when` outside of volume date range | <ul><li>October 15, 1940</li></ul> | <ul><li>1949</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1949v09/d1136</li></ul>
 1940-10-31 | 1 | `@when` outside of volume date range | <ul><li>October 31, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d549</li></ul>
 1940-11-06 | 1 | `@when` outside of volume date range | <ul><li>November 6, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d231</li></ul>
 1940-11-11T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 11, 1940—3 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d232</li></ul>
 1940-11-12 | 1 | `@when` outside of volume date range | <ul><li>November 12, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v03/d670</li></ul>
 1940-11-13T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 13, 1940—4 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d233</li></ul>
 1940-11-15 | 1 | `@when` outside of volume date range | <ul><li>November 15, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v03/d671</li></ul>
 1940-11-25 | 1 | `@when` outside of volume date range | <ul><li>November 25, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d550</li></ul>
 1940-12-04T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 4, 1940—noon</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v03/d691</li></ul>
 1940-12-08 | 1 | `@when` outside of volume date range | <ul><li>December 8, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d234</li></ul>
 1940-12-12 | 1 | `@when` outside of volume date range | <ul><li>December 12, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v06/d185</li></ul>
 1940-12-14T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 14, 1940—4 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d887</li></ul>
 1940-12-15T23:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 15, 1940—11 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v06/d576</li></ul>
 1940-12-16 | 1 | `@when` outside of volume date range | <ul><li>December 16, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v03/d78</li></ul>
 1940-12-18 | 1 | `@when` outside of volume date range | <ul><li>December 18, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v07/d178</li></ul>
 1940-12-19T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 19, 1940—12 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d511</li></ul>
 1940-12-20 | 1 | `@when` outside of volume date range | <ul><li>December 20, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d552</li></ul>
 1940-12-21 | 1 | `@when` outside of volume date range | <ul><li>December 21, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d553</li></ul>
 1940-12-26 | 1 | `@when` outside of volume date range | <ul><li>December 26, 1940</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v03/d683</li></ul>
 1940-12-30T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 30, 1940—6 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d888</li></ul>
 1941-01-02T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 2, 1941—9 p.m.</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v03/d306</li></ul>
 1941-01-03 | 1 | `@when` outside of volume date range | <ul><li>January 3, 1941</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v04/d503</li></ul>
 1941-01-06 | 1 | `@when` outside of volume date range | <ul><li>January 6, 1941</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v05/d639</li></ul>
 1941-01-07T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 7, 1941—6 p.m.</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v02/d974</li></ul>
 1941-01-08T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 8, 1941—noon</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v02/d975</li></ul>
 1941-01-09 | 1 | `@when` outside of volume date range | <ul><li>January 9, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v02/d233</li></ul>
 1941-01-18T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 18, 1941—3 p.m.</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v02/d799</li></ul>
 1941-01-24 | 1 | `@when` outside of volume date range | <ul><li>January 24, 1941</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v02/d848</li></ul>
 1941-01-25T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 25, 1941—2 p.m.</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v03/d810</li></ul>
 1941-01-28 | 1 | `@when` outside of volume date range | <ul><li>January 28, 1941</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v05/d586</li></ul>
 1941-02-01 | 1 | `@when` outside of volume date range | <ul><li>February 1, 1941</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v03/d220</li></ul>
 1941-02-03T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>February 3, 1941—6 p.m.</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v02/d838</li></ul>
 1941-02-10T09:00:00 | 1 | `@when` outside of volume date range | <ul><li>February 10, 1941—9 a.m.</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v03/d146</li></ul>
 1941-02-12 | 1 | `@when` outside of volume date range | <ul><li>February 12, 1941</li></ul> | <ul><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v02/d915</li></ul>
 1941-10-13T22:00:00 | 1 | `@when` outside of volume date range | <ul><li>October 13, 1941—10 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d35</li></ul>
 1941-10-18 | 1 | `@when` outside of volume date range | <ul><li>October 18, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v03/d38</li></ul>
 1941-10-21 | 1 | `@when` outside of volume date range | <ul><li>October 21, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v03/d39</li></ul>
 1941-10-25 | 1 | `@when` outside of volume date range | <ul><li>October 25, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v03/d40</li></ul>
 1941-11-04T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 4, 1941—7 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d36</li></ul>
 1941-12-03T23:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 3, 1941—11 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v02/d717</li></ul>
 1941-12-06T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 6, 1941—9 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v05/d321</li></ul>
 1941-12-07 | 1 | `@when` outside of volume date range | <ul><li>December 7, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d312</li></ul>
 1941-12-08T17:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 8, 1941—5 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d313</li></ul>
 1941-12-09 | 1 | `@when` outside of volume date range | <ul><li>December 9, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v04/d556</li></ul>
 1941-12-12 | 1 | `@when` outside of volume date range | <ul><li>December 12, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v02/d819</li></ul>
 1941-12-13T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 13, 1941—7 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d216</li></ul>
 1941-12-13T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 13, 1941—9 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v04/d33</li></ul>
 1941-12-16 | 1 | `@when` outside of volume date range | <ul><li>December 16, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v02/d820</li></ul>
 1941-12-17 | 1 | `@when` outside of volume date range | <ul><li>December 17, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v04/d558</li></ul>
 1941-12-18T22:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 18, 1941—10 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d809</li></ul>
 1941-12-20 | 1 | `@when` outside of volume date range | <ul><li>December 20, 1941</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d493</li></ul>
 1941-12-22T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 22, 1941—6 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d745</li></ul>
 1941-12-25T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 25, 1941—3 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v05/d5</li></ul>
 1941-12-26T11:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 26, 1941—11 a.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v04/d34</li></ul>
 1941-12-26T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 26, 1941—7 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d478</li></ul>
 1941-12-27T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 27, 1941—2 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d225</li></ul>
 1941-12-27T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 27, 1941—6 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942China/d531</li></ul>
 1941-12-29T13:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 29, 1941—1 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v05/d6</li></ul>
 1941-12-29T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 29, 1941—2 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v05/d7</li></ul>
 1941-12-30T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 30, 1941—3 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v05/d8</li></ul>
 1941-12-30T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 30, 1941—7 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v05/d9</li></ul>
 1941-12-31T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1941—3 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v05/d10</li></ul>
 1942-01-01T11:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 1, 1942—11 a.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v04/d595</li></ul>
 1942-01-02T13:45:00 | 1 | `@when` outside of volume date range | <ul><li>January 2, 1942—1:45 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v04/d596</li></ul>
 1942-01-03T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 3, 1942—noon</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d872</li></ul>
 1942-01-05T21:10:00 | 1 | `@when` outside of volume date range | <ul><li>January 5, 1942—9:10 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v04/d597</li></ul>
 1942-01-07T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 7, 1942 [1943]—9 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v02/d667</li></ul>
 1942-01-09T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 9, 1942 [1943]—9 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v05/d152</li></ul>
 1942-01-10T13:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 10, 1942—1 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d816</li></ul>
 1942-01-11T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 11, 1942 [1943]—3 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v01/d50</li></ul>
 1942-01-19 | 1 | `@when` outside of volume date range | <ul><li>January 19, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v07/d429</li></ul>
 1942-01-27 | 1 | `@when` outside of volume date range | <ul><li>January 27, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v04/d598</li></ul>
 1942-01-28 | 1 | `@when` outside of volume date range | <ul><li>January 28, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v07/d194</li></ul>
 1942-01-30 | 1 | `@when` outside of volume date range | <ul><li>January 30, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v07/d195</li></ul>
 1942-05-16T20:00:00 | 1 | `@when` outside of volume date range | <ul><li>May 16, 1942—8 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v07/d432</li></ul>
 1942-05-30 | 1 | `@when` outside of volume date range | <ul><li>May 30, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d957</li></ul>
 1942-06-04 | 1 | `@when` outside of volume date range | <ul><li>June 4, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d701</li></ul>
 1942-06-05 | 1 | `@when` outside of volume date range | <ul><li>June 5, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d958</li></ul>
 1942-06-13 | 1 | `@when` outside of volume date range | <ul><li>June 13, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d260</li></ul>
 1942-06-15 | 1 | `@when` outside of volume date range | <ul><li>June 15, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d291</li></ul>
 1942-06-22 | 1 | `@when` outside of volume date range | <ul><li>June 22, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d300</li></ul>
 1942-06-24 | 1 | `@when` outside of volume date range | <ul><li>June 24, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d304</li></ul>
 1942-06-27 | 1 | `@when` outside of volume date range | <ul><li>June 27, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d308</li></ul>
 1942-07-23 | 1 | `@when` outside of volume date range | <ul><li>July 23, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d959</li></ul>
 1942-07-31 | 1 | `@when` outside of volume date range | <ul><li>July 31, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v01/d867</li></ul>
 1942-08-07 | 1 | `@when` outside of volume date range | <ul><li>August 7, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d702</li></ul>
 1942-09-15 | 1 | `@when` outside of volume date range | <ul><li>September 15, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v01/d868</li></ul>
 1942-10-10 | 1 | `@when` outside of volume date range | <ul><li>October 10, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d960</li></ul>
 1942-10-24 | 1 | `@when` outside of volume date range | <ul><li>October 24, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d398</li></ul>
 1942-11-16T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 16, 1942—6 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v04/d1141</li></ul>
 1942-11-20 | 1 | `@when` outside of volume date range | <ul><li>November 20, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v06/d240</li></ul>
 1942-11-21 | 1 | `@when` outside of volume date range | <ul><li>November 21, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d441</li></ul>
 1942-11-25 | 1 | `@when` outside of volume date range | <ul><li>November 25, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d311</li></ul>
 1942-11-30 | 1 | `@when` outside of volume date range | <ul><li>November 30, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d1</li></ul>
 1942-12-05 | 1 | `@when` outside of volume date range | <ul><li>December 5, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d443</li></ul>
 1942-12-07 | 1 | `@when` outside of volume date range | <ul><li>December 7, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d316</li></ul>
 1942-12-10T22:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 10, 1942—10 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d535</li></ul>
 1942-12-11 | 1 | `@when` outside of volume date range | <ul><li>December 11, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d318</li></ul>
 1942-12-12 | 1 | `@when` outside of volume date range | <ul><li>December 12, 1942</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d319</li></ul>
 1942-12-14T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 14, 1942—4 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v04/d688</li></ul>
 1942-12-16 | 1 | `@when` outside of volume date range | <ul><li>December 16, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d718</li></ul>
 1942-12-18T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 18, 1942—4 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v02/d283</li></ul>
 1942-12-19 | 1 | `@when` outside of volume date range | <ul><li>December 19, 1942</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v04/d191</li></ul>
 1942-12-23T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 23, 1942—noon</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v04/d443</li></ul>
 1942-12-23T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 23, 1942—7 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v02/d284</li></ul>
 1942-12-24T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 24, 1942—9 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v01/d1</li></ul>
 1942-12-26T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 26, 1942—3 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v04/d1142</li></ul>
 1942-12-27T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 27, 1942—noon</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v02/d531</li></ul>
 1942-12-28T13:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 28, 1942—1 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d536</li></ul>
 1942-12-31T00:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1942—midnight.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v05/d557</li></ul>
 1942-12-31T13:30:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1942—1:30 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v05/d423</li></ul>
 1942-12-31T17:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1942—5 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v01/d453</li></ul>
 1942-12-31T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1942—7 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v04/d689</li></ul>
 1943-01-01T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 1, 1943—4 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v04/d853</li></ul>
 1943-01-02T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 2, 1943—4 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v04/d752</li></ul>
 1943-01-02T20:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 2, 1943—8 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v04/d645</li></ul>
 1943-01-03T22:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 3, 1943—10 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v02/d598</li></ul>
 1943-01-04 | 1 | `@when` outside of volume date range | <ul><li>January 4, 1943</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942China/d163</li></ul>
 1943-01-06T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 6, 1943—6 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942China/d314</li></ul>
 1943-01-08T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 8, 1943 [1944]—4 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d1107</li></ul>
 1943-01-09T17:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 9, 1943—5 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v06/d692</li></ul>
